company_name,company_code,trading_time,type,listing_board
2ndChance W230308,ZFSW,20220309_081700,companywarrants,MAINBOARD
3Cnergy,502,20220309_081700,stocks,CATALIST
8Telecom,AZG,20220309_081700,stocks,MAINBOARD
A-Smart,BQC,20220309_081700,stocks,MAINBOARD
A-Sonic Aero W220408^,8YMW,20220309_081700,companywarrants,MAINBOARD
A-Sonic Aero^,BTJ,20220309_081700,stocks,MAINBOARD
AAC 5xLongSG220630,DALW,20220309_081800,dlcertificates,MAINBOARD
AAC 5xLongSG230331,DAFW,20220309_081800,dlcertificates,MAINBOARD
AAC 5xLongSG231214,DATW,20220309_081800,dlcertificates,MAINBOARD
AAC 5xLongSG240201,DKAW,20220309_081800,dlcertificates,MAINBOARD
AAC 5xShortSG220621,DBGW,20220309_081800,dlcertificates,MAINBOARD
AAC 5xShortSG220630,DASW,20220309_081800,dlcertificates,MAINBOARD
AAC 5xShortSG221201,DYDW,20220309_081800,dlcertificates,MAINBOARD
AAC 5xShortSG230825,DWTW,20220309_081800,dlcertificates,MAINBOARD
ABF SG BOND ETF,A35,20220309_081800,etfs,MAINBOARD
ABR,533,20220309_081700,stocks,MAINBOARD
Abterra^,L5I,20220309_081700,stocks,MAINBOARD
Abundance Intl,541,20220309_081700,stocks,CATALIST
Accrelist Ltd,QZG,20220309_081700,stocks,CATALIST
Ace Achieve Info,A75,20220309_081700,stocks,MAINBOARD
Acesian Partners,5FW,20220309_081700,stocks,CATALIST
ACH ADR US$,K3HD,20220309_081532,adrs,GLOBAL_QUOTE
Acma,AYV,20220309_081700,stocks,MAINBOARD
AcroMeta,43F,20220309_081700,stocks,CATALIST
Addvalue Tech,A31,20220309_081700,stocks,MAINBOARD
Advanced,BLZ,20220309_081700,stocks,CATALIST
Advanced Systems,5TY,20220309_081700,stocks,CATALIST
Advancer Global,43Q,20220309_081700,stocks,CATALIST
Adventus,5EF,20220309_081700,stocks,CATALIST
Aedge Group,XVG,20220309_081700,stocks,CATALIST
AEM SGD,AWX,20220309_081700,stocks,MAINBOARD
AEM USD,XWA,20220309_081700,stocks,MAINBOARD
AF Global,L38,20220309_081700,stocks,MAINBOARD
AGV,1A4,20220309_081700,stocks,CATALIST
AIA 5xLongSG241213,DWGW,20220309_081800,dlcertificates,MAINBOARD
AIA 5xShortSG240125,DUXW,20220309_081800,dlcertificates,MAINBOARD
AIMS APAC Reit,O5RU,20220309_081700,reits,MAINBOARD
AIMS Property,BVP,20220309_022333,others,MAINBOARD
AIMS Property,BVP,20220309_081700,stocks,MAINBOARD
Alibaba 5xLongSG220608,DGFW,20220309_081800,dlcertificates,MAINBOARD
Alibaba 5xLongSG230627,DMBW,20220309_081800,dlcertificates,MAINBOARD
Alibaba 5xLongSG230627A,DNFW,20220309_081800,dlcertificates,MAINBOARD
Alibaba 5xLongSG231214,DVIW,20220309_081800,dlcertificates,MAINBOARD
Alibaba 5xLongUB241231,WA9W,20220309_081800,dlcertificates,MAINBOARD
Alibaba 5xShortSG230202,DAGW,20220309_081800,dlcertificates,MAINBOARD
Alibaba 5xShortSG230627,DCMW,20220309_081800,dlcertificates,MAINBOARD
Alibaba 5xShortSG230627A,DWNW,20220309_081800,dlcertificates,MAINBOARD
Alibaba 5xShortSG231214,DCIW,20220309_081800,dlcertificates,MAINBOARD
Alibaba 5xShortUB241231,JQYW,20220309_081800,dlcertificates,MAINBOARD
Alibaba MB eCW220404,THVW,20220309_081700,structuredwarrants,MAINBOARD
Alibaba MB eCW220705,9BXW,20220309_081700,structuredwarrants,MAINBOARD
Alibaba MB ePW220404,LBHW,20220309_081700,structuredwarrants,MAINBOARD
Alibaba MB ePW220705,YQOW,20220309_081700,structuredwarrants,MAINBOARD
ALIHLTH 5xLongSG220323,DUQW,20220309_081800,dlcertificates,MAINBOARD
ALIHLTH 5xLongSG231012,DXZW,20220309_081800,dlcertificates,MAINBOARD
ALIHLTH 5xShortSG231012,DYMW,20220309_081800,dlcertificates,MAINBOARD
Alita Resources,40F,20220309_081700,stocks,CATALIST
Alliance HC,MIJ,20220309_081700,stocks,CATALIST
Allied Tech,A13,20220309_081700,stocks,CATALIST
AlphaDX,VVL,20220309_081700,stocks,CATALIST
Alpina Holdings,ZXY,20220309_081700,stocks,CATALIST
Alset,40V,20220309_081700,stocks,CATALIST
Amara,A34,20220309_081700,stocks,MAINBOARD
Amcorp Global,S9B,20220309_081700,stocks,MAINBOARD
AMOS Group,49B,20220309_081700,stocks,MAINBOARD
Amplefield Ltd,AOF,20220309_081700,stocks,CATALIST
Amplefield Ltd W221218,1G7W,20220309_081700,companywarrants,CATALIST
