company_name,stock_code
FAR EAST GROUP LTD,5TJ
MEDI LIFESTYLE LTD,5TN
CNMC GOLDMINE HOLDINGS LTD,5TP
LIBRA GROUP LIMITED,5TR
ALPHA ENERGY HOLDING LTD,5TS
KEONG HONG HOLDINGS LTD,5TT
CHASWOOD RESOURCES HLDGS,5TW
ADVANCED SYSTEMS AUTOMATION,5TY
LUMINOR FINANCIAL HLDGS LTD,5UA
SHC CAPITAL ASIA,5UE
MAXI-CASH FINANCIAL SERVICES CORPORATION LTD.,5UF
NEO GROUP LTD,5UJ
ATLANTIC NAVIATION HOLDINGS (SINGAPORE) LIMITED,5UL
SINCAP GROUP LTD,5UN
SYSMA HOLDINGS LTD,5UO
P99 HLDGS,5UV
OXLEY HOLDINGS LTD,5UX
DECLOUT ,5UZ
KORI HOLDINGS LTD,5VC
BOLDTEK HOLDINGS LTD,5VI
HALCYON AGRI CORPORATION LTD,5VJ
GDS GLOBAL LTD,5VP
HAFARY HOLDINGS LTD,5VS
EUNETWORKS GROUP LTD (FORMERLY GLOBAL VOICE GROUP LTD),5VT
ARION ENTERTAINMENT SINGAPORE LTD,5VU
OUE LIPPO HEALTHCARE LIMITED,5WA
PS GROUP HOLDING LTD,5WD
MOYA HOLDINGS ASIA LTD,5WE
ISOTEAM LTD.,5WF
SINGAPORE KITCHEN EQUIPMENT LTD,5WG
REX INTERNATIONAL HOLDING LTD,5WH
MONEYMAX FINANCIAL SERVICES LTD.,5WJ
"XYEC HLDGS CO., LTD",5WR
ASIAPHOS LTD,5WV
HYFLUX ,600
ASIA POWER CORPORATION LTD,A03
ASL MARINE HOLDINGS LTD.,A04
CHINA ENERGY LTD,A0G
ALLIED TECHNOLOGIES LIMITED,A13
ARMSTRONG INDUSTRIAL CORPORATION LTD,A14
AUSSINO GROUP LTD,A15
ASCENDAS REAL ESTATE INV TRUST,A17U
AURIC PACIFIC GROUP,A23
SINARMAS LAND LTD,A26
MDR LTD,A27
ASPIAL CORPORATION LTD,A30
ADDVALUE TECHNOLOGIES LTD,A31
BLUMONT GROUP LTD,A33
AMARA HOLDINGS LTD,A34
ASIA PACIFIC BREWERIES LTD,A46
THOMSON MEDICAL GROUP LIMITED,A50
ANNAIK LTD,A52
ASIA ENTERPRISES HOLDING LTD,A55
ACTION ASIA LTD,A59
LUYE PHARMA GROUP LTD,A61
ASCOTT RESIDENCE TRUST,A68U
ACE ACHIEVE INFOCOM ,A75
SHEN YAO HOLDINGS LIMITED,A78
KEPPEL INFRA TRUST,A7RU
SUNVIC CHEMICAL HOLDINGS LTD,A7S
CHINA FARM EQUIPMENT LTD,A8J
SUNMOON FOOD CO ,AAJ
FRASERS HOSPITALITY TRUST,ACV
CWG INTERNATIONAL,ACW
CHINA BEARING (S) LTD,AD7
SINO TECHFIBRE LIMITED,AD8
PINE CAPITAL GROUP LTD,ADJ
FIRST SPONSOR GROUP LTD,ADN
SWISSCO HLDGS LTD,ADP
ACCORDIA GOLF TRUST,ADQU
YUUZOO CORP ,AFC
THE HOUR GLASS LIMITED,AGS
TEXCHEM-PACK HLDGS (S) LTD,AI1
IFAST CORPORATION LTD,AIY
SAKARI RESOURCES LTD,AJ1
OUHUA ENERGY HOLDINGS LIMITED,AJ2
KEPPEL DC REIT,AJBU
GEMS TV HLDGS LTD,AM3
AMPLEFIELD LTD,AOF
RIVERSTONE HOLDINGS LTD,AP4
COURAGE MARINE GROUP LTD,ATL
CAPITALAND CHINA TRUST,AU8U
GOLDEN ENERGY AND RESOURCES LTD,AUE
CHEMOIL ENERGY LTD,AV5
BOUSTEAD PROJECTS LTD,AVM
CEI LTD,AVV
HL GLOBAL ENTERPRISES LTD,AVX
AZTECH GROUP LTD,AVZ
FIRST REAL ESTATE INV TRUST,AW9U
BROOK CROMPTON HOLDINGS LTD,AWC
SP CORPORATION LIMITED,AWE
AEI CORPORATION LTD,AWG
THAKRAL CORPORATION LTD,AWI
FUXING CHINA GROUP LTD,AWK
SHANGHAI TURBO ENTERPRISES LTD,AWM
MIRACH ENERGY LTD,AWO
GYP PROPERTIES LTD,AWS
CAPTII LTD,AWV
AEM HOLDING LTD,AWX
MULTI-CHEM LTD,AWZ
YONGNAM HOLDINGS LIMITED,AXB
ADV INTEGRATED MFG CORP,AXH
GMG GLOBAL LTD,AXJ
CHINA FIBRETECH LTD,AXL
CHANGTIAN PLASTIC & CHEM,AXV
LI HENG CHEM FIBRE TECH LTD,AXZ
LAFE CORPORATION LTD,AYB
PLASTOFORM HOLDINGS LTD,AYD
UNI-ASIA HLDGS,AYF
STAR PHARMACEUTICAL LIMITED,AYL
GLOBAL TESTING CORPORATION LTD,AYN
ACMA LTD.,AYV
IPC CORPORATION LTD,AZA
8TELECOM INTERNATIONAL HLDGS CO ,AZG
UNITED FOOD HOLDINGS LIMITED,AZR
NUTRYFARM INTERNATIONAL LTD,AZT
CHINA TAISAN TECH GROUP HLDGS,AZW
"STX PAN OCEAN CO., LTD.",AZY
CHINA GAOXIAN FIBRE FAB HLDGS LTD,AZZ
NGSC LTD,B07
BRITISH AND MALAYAN TRUSTEES,B08
FORELAND FABRICTECH HLDS LTD,B0I
CHINA FISHERY GROUP LTD,B0Z
BOARDROOM LTD,B10
GL LTD,B16
RICKMERS MARITIME,B1ZU
BIOSENSORS INTERNATIONAL GROUP LTD,B20
BIO-TREAT TECHNOLOGY LIMITED,B22
BAN LEONG TECHNOLOGIES LIMITED,B26
BONVESTS HOLDINGS LTD,B28
M1 ,B2F
TOTAL ACCESS COMMUNICATION PUBLIC COMPANY LTD,B2W
CHINA PRINT POWER GROUP LTD,B3C
WORLD PRECISION MACHINERY LTD,B49
BANYAN TREE HOLDINGS LTD,B58
BUKIT SEMBAWANG ESTATES LTD,B61
BERGER INTERNATIONAL LIMITED,B64
PT BERLIAN LAJU TANKER TBK,B66
BROADWAY INDUSTRIAL GROUP LTD,B69
GLOBAL INVESTMENTS LTD,B73
SIN GHEE HUAT CORPORATION LTD,B7K
CHINA XLX FERTILISER LTD,B9R
COSMOSTEEL HOLDINGS LTD,B9S
CAMSING HEALTHCARE LTD,BAC
DIGILIFE TECHNOLOGIES LTD,BAI
LION ASIAPAC LTD,BAZ
HOR KEW CORPORATION LTD,BBP
AZEUS SYSTEMS HOLDINGS LTD,BBW
CHINA YUANBANG PROP HLDGS LTD,BCD
QIAN HU CORPORATION LTD,BCV
CHINA FLEXIBLE PACKAGING HLDGS,BCX
POWERMATIC DATA SYSTEMS LTD,BCY
TRAVELITE HOLDINGS LTD,BCZ
PNE INDUSTRIES LTD,BDA
EXCELPOINT TECHNOLOGY LTD,BDF
EASTERN HLDGS LTD,BDG
RYOBI KISO HLDGS,BDN
WILLAS-ARRAY ELEC (HLDGS) LTD,BDR
FEDERAL INTERNATIONAL (2000) ,BDU
FISCHER TECH,BDV
GSH CORPORATION LTD,BDX
BRC ASIA LTD,BEC
CHINA INTERNATIONAL HLDGS LTD,BEH
LHT HOLDINGS LTD,BEI
OTTO MARINE LTD,BER
INDIABULLS PROPERTIES INVESTMENT TRUST,BESU
SWING MEDIA TECHNOLOGY GRP,BEV
JB FOODS LTD,BEW
BENG KUANG MARINE LTD,BEZ
TIONG SENG HOLDINGS LIMITED,BFI
PHARMESIS INTERNATIONAL LTD,BFK
FABCHEM CHINA LTD,BFT
TYE SOON LTD,BFU
SWIBER HLDGS LTD,BGK
UNIVERSAL RESOURCE & SVCS,BGO
CHINA MINING INTERNATIONAL LTD,BHD
SIIC ENVIRONMENT HOLDINGS LTD,BHK
TOP GLOBAL LIMITED,BHO
SUNNINGDALE TECH LTD,BHQ
SUTL ENTERPRISE LTD,BHU
VIBRANT GROUP LTD,BIP
ELLIPSIZ LTD,BIX
VIBROPOWER CORPORATION LTD,BJD
JAYA HLDGS,BJE
LANTROVISION (S) LTD,BJK
LCT HOLDINGS LTD,BJL
YAMADA GREEN RESOURCES LTD,BJV
SHINVEST HOLDING LTD,BJW
KODA LTD,BJZ
SIN HENG HEAVY MACHINERY LTD,BKA
LIANG HUAT ALUMINIUM LTD,BKB
LUXKING GROUP HOLDINGS LTD,BKK
DUKANG DISTILLERS HLDGS LTD,BKV
DATAPULSE TECHNOLOGY LIMITED,BKW
YONGMAO HOLDINGS LTD,BKX
AVI-TECH ELECTRONICS LTD,BKY
SUNTAR ECO-CITY LTD,BKZ
UNION STEEL HOLDINGS LTD,BLA
HAI LECK HOLDINGS LTD,BLH
PSL HOLDINGS LTD,BLL
DARCO WATER TECHNOLOGIES LTD,BLR
HOTUNG INVESTMENT HLDGS LTD,BLS
K1 VENTURES,BLT
GRP LTD,BLU
GLOBAL PALM RESOURCES HLGS LTD,BLW
ADVANCED HOLDINGS LTD ,BLZ
WEIYE HLDGS ,BMA
BHG RETAIL REIT,BMGU
HUPSTEEL LTD,BMH
NEW SILKROUTES GROUP LTD,BMT
VALUETRONICS HOLDINGS LTD,BN2
KEPPEL CORPORATION LTD,BN4
KENCANA AGRI LTD,BNE
MEMTECH INTERNATIONAL LTD,BOL
INFORMATICS EDUCATION LTD,BOU
YHI INTERNATIONAL LTD,BPF
A-SMART HOLDINGS LTD,BQC
ENVICTUS INTERNATIONAL HOLDINGS LTD,BQD
XMH HOLDINGS LTD,BQF
ASIA FASHION HLDGS ,BQI
TIONG WOON CORPORATION HOLDING LTD,BQM
BH GLOBAL CORPORATION LTD,BQN
DELONG HOLDING LTD,BQO
SOUTHERN PACKAGING GROUP LTD,BQP
CHINA HONGXING SPORTS LIMITED,BR9
SAPPHIRE CORPORATION LTD,BRD
LINC ENERGY LTD,BRE
USP GROUP LTD,BRS
YANGZIJIANG SHIPBUILDING (HOLDINGS) LTD,BS6
RAFFLES MEDICAL GROUP LTD,BSL
BUND CENTER INVESTMENT LTD,BTE
DEBAO PROPERTY DEVELOPMENT LTD,BTF
HG METAL MANUFACTURING LTD,BTG
A-SONIC AEROSPACE LTD,BTJ
PENGUIN INTERNATIONAL LTD,BTM
MANULIFE US REIT,BTOU
BAKER TECHNOLOGY LTD,BTP
ANCHUN INTERNATIONAL HLDGS LTD,BTX
FULL APEX (HLDGS) ,BTY
FRASERS LOGISTICS AND COMMERCIAL TRUST,BUOU
PROCURRI CORPORATION LTD,BVQ
EC WORLD REIT,BWCU
ZHENENG JINJIANG ENV HLDG CO,BWM
CDW HOLDING LTD,BXE
BIOLIDICS LTD,BYY
COMPACT METAL INDUSTRIES LTD,C02
CASA HOLDINGS LTD,C04
CHEMICAL INDUSTRIES (FAR EAST) LTD,C05
CSC HOLDINGS LTD,C06
