Title,Text,Link,Date,Tickers_found,Direction of STI Movement,Percentage of STI Movement
Market update: STI up 1.81%,"Yangzijiang Shipbuilding was seen with the most growth.The Straits Time Index closed at 1.81% up, at3,294.76on 16 March.Topping the chart were Yangzijiang Shipbuilding at 3.82%, UOB at 3.51%, and ComfortDelGro at 2.94%.Seen at the bottom was Sembcorp Industries at 0.39% down.",https://sbr.com.sg/stocks/news/market-update-sti-181,2022-03-17T06:00:00+0800,"{'MQVW': 'Comfort 5xLongSG231115', 'THLW': 'Comfort 5xShortSG231115', 'FQJW': 'ComfortDel MBeCW220315', '9A3W': 'ComfortDel MBeCW221014', 'C52': 'ComfortDelGro', 'U96': 'Sembcorp Ind', 'S51': 'Sembcorp Marine', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF', 'U11': 'UOB', 'DHBW': 'UOB 5xLongSG230713', 'DOGW': 'UOB 5xLongSG240306', 'DEZW': 'UOB 5xShortSG221201', 'DSMW': 'UOB 5xShortSG240306', 'X1KW': 'YZJ 5xLongSG231115', '5YCW': 'YZJ 5xShortSG231115', 'BS6': 'YZJ Shipbldg SGD'}",Positive,1.81%
Market update: STI down 0.02%,"DBS was seen with the most growth.The Straits Time Index closed at 0.02% down, at3,231.42on 15 March.Topping the positive growths were DBS at 2.2%, UOB at 1.43%, and Wilmar International at 0.44%.Seen at the bottom were HongKong Land at 4.16% down, Yangzijiang Shipbuilding at 3.68% down and Sembcorp Industries at 2.63% down.",https://sbr.com.sg/stocks/news/market-update-sti-down-002-1,2022-03-16T06:00:00+0800,"{'D05': 'DBS', 'DQEW': 'DBS 5xLongSG230713', 'DKBW': 'DBS 5xLongSG240306', 'DCAW': 'DBS 5xShortSG220331', 'DTFW': 'DBS 5xShortSG221201', 'DLDW': 'DBS 5xShortSG240306', 'H30': 'Hong Fok', 'KUO': 'Intl Cement', 'U96': 'Sembcorp Ind', 'S51': 'Sembcorp Marine', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF', 'U11': 'UOB', 'DHBW': 'UOB 5xLongSG230713', 'DOGW': 'UOB 5xLongSG240306', 'DEZW': 'UOB 5xShortSG221201', 'DSMW': 'UOB 5xShortSG240306', 'DPBW': 'Wilmar 5xLongSG240306', 'DDBW': 'Wilmar 5xShortSG221201', 'DHGW': 'Wilmar 5xShortSG230825', 'F34': 'Wilmar Intl', 'X1KW': 'YZJ 5xLongSG231115', '5YCW': 'YZJ 5xShortSG231115', 'BS6': 'YZJ Shipbldg SGD'}",Negative,0.02%
How the STI experienced the effects of the Russia-Ukraine conflict,"The past 12 trading sessions saw fuel and travel dependent airlines perform the least.A global trend was felt as the Straits Times Index (STI) reported increased volatility since the authorisation of military operations by President Vladimir Putin in Ukraine.According to the Singapore Exchange's (SGX) latest market update, the period between 23 February and 11 March saw a decline in the STI by 4.2%, with both global bank stocks also contributing through a 6.8% decline. Following this trend, the FTSE Asia Pacific Index also slid by 5.7%.In terms of sectors, the oil and gas sector topped the global stocks, whilst fuel and travel dependent airlines are the least performing stocks over the past 12 trading sessions. On top of this, expectations for the pending US FOMC Rate hike dipping to 25 bps from 50 bps, have also resulted in banks being seen amongst the least performing sectors. Meanwhile, the REIT sector has shown promise as one of the most defensive sectors, alongside the energy and utility sectors.Sembcorp Industries led the STI in the same period, with five of the seven STI REITs making up the STI’s top 10 performers.Meanwhile, UOB, DBS, and OCBC Bank made up the least performing STI stocks for the period.During the same period, $740m of net institutional flow was logged by the index, with more STI stocks booking net inflows at 16 than net outflows at 14 over the same period. The three previously mentioned banks led in outflows as well, while averaging 7.5% in declines.On the other hand, leading in net institutional inflows were Singapore Telecommunications, Singapore Technologies Engineering, Wilmar International, CapitaLand Integrated Commercial Trust, and Sembcorp Industries.",https://sbr.com.sg/stocks/news/how-sti-experienced-effects-russia-ukraine-conflict,2022-03-15T09:58:25+0800,"{'B26': 'Ban Leong', '9CI': 'CapitaLandInvest', 'D05': 'DBS', 'DQEW': 'DBS 5xLongSG230713', 'DKBW': 'DBS 5xLongSG240306', 'DCAW': 'DBS 5xShortSG220331', 'DTFW': 'DBS 5xShortSG221201', 'DLDW': 'DBS 5xShortSG240306', 'KUO': 'Intl Cement', 'DMUW': 'OCBC 5xLongSG221201', 'DFJW': 'OCBC 5xShortSG221201', 'O39': 'OCBC Bank', 'P11': 'Pacific Andes', 'P15': 'Pacific Century', 'T8V': 'Pacific Radiance', 'U96': 'Sembcorp Ind', 'S51': 'Sembcorp Marine', 'S68': 'SGX', 'DGRW': 'SGX 5xLongSG220630', 'DGSW': 'SGX 5xShortSG220630', 'DYKW': 'SGX 5xShortSG230420', 'Z77': 'Singtel 10', 'DBYW': 'Singtel 5xLongSG231214', 'DKMW': 'Singtel 5xShortSG230713', 'ERKW': 'SingtelMBeCW220915', 'S63': 'ST Engineering', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF', 'U11': 'UOB', 'DHBW': 'UOB 5xLongSG230713', 'DOGW': 'UOB 5xLongSG240306', 'DEZW': 'UOB 5xShortSG221201', 'DSMW': 'UOB 5xShortSG240306', 'DPBW': 'Wilmar 5xLongSG240306', 'DDBW': 'Wilmar 5xShortSG221201', 'DHGW': 'Wilmar 5xShortSG230825', 'F34': 'Wilmar Intl'}",,
SGX launches low carbon index in partnership with OCBC,"The index uses a methodology that singles out companies with a heavy reliance on fossil fuels.Going green was the next step forward as Singapore Exchange (SGX), in collaboration with OCBC, launched the iEdge-OCBC Singapore Low Carbon Select 50 Capped Index.Developed by SGX as part of the SGX Sustainability Indices product suite, the product was done in association with product specialists from the OCBC Group.A methodology was also applied that excludes entities that have a heavy presence in the fossil fuels sector. Best-in-class selections based on Scope 1 and Scope 2 greenhouse gas emissions per unit of revenue, were also highlighted.Through this, the top 50 remaining companies by market capitalisation will make up the index, with a tiered capped weighting mechanism in place to enforce portfolio diversification.Mega cap stocks will be capped at 10%, with other constituents following suit at 7%.“The index provides an opportunity for investors to reduce the carbon footprint of their investment portfolios,” commented SGX.",https://sbr.com.sg/stocks/news/sgx-launches-low-carbon-index-in-partnership-ocbc,2022-03-15T09:34:52+0800,"{'CGN': 'Best World', 'DMUW': 'OCBC 5xLongSG221201', 'DFJW': 'OCBC 5xShortSG221201', 'O39': 'OCBC Bank', 'S68': 'SGX', 'DGRW': 'SGX 5xLongSG220630', 'DGSW': 'SGX 5xShortSG220630', 'DYKW': 'SGX 5xShortSG230420'}",,
Market update: STI down 0.7%,"Venture was seen with the most growth.The Straits Time Index closed at 0.7% down, at3,226.84on 14 March.Topping the positive growths were Venture at 0.18%, CityDev at 0.14%, and Jardine Cycle & Carriage at 0.09%.Seen at the bottom were Yangzijiang Shipbuilding at 3.55% down, Keppel DC Reit at 1.79% down, and Ascendas Reit at 1.74% down.",https://sbr.com.sg/stocks/news/market-update-sti-down-07-0,2022-03-15T06:00:00+0800,"{'A17U': 'Ascendas Reit', 'C09': 'CityDev', 'DQIW': 'CityDev 5xLongSG220331', 'DCLW': 'CityDev 5xLongSG220630', 'DEUW': 'CityDev 5xLongSG230404', 'DCSW': 'CityDev 5xShortSG220630', 'DXIW': 'CityDev 5xShortSG231214', 'C07': 'Jardine C&C', 'BN4': 'Keppel Corp', 'AJBU': 'Keppel DC Reit', 'K71U': 'Keppel Reit', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF', 'V03': 'Venture', 'DBHW': 'Venture 5xLongSG230713', 'DABW': 'Venture 5xShortSG220422', 'DVCW': 'Venture 5xShortSG230920', 'X1KW': 'YZJ 5xLongSG231115', '5YCW': 'YZJ 5xShortSG231115', 'BS6': 'YZJ Shipbldg SGD'}",Negative,0.7%
Market update: STI up 0.14%,"CityDev was seen with the most growth.The Straits Time Index closed at 0.14% up, at3,245.15on 11 March.Topping the positive growths were CityDev at 1.53%, Frasers Logistics & Commercial Trust at 1.39%, and DBS at 1.13%.Seen at the bottom were DairyFarm at 3.59% down, Jardine Matheson Holdings at 2.18% down, and HongKong Land at 1.73% down.",https://sbr.com.sg/stocks/news/market-update-sti-014-1,2022-03-14T06:00:00+0800,"{'C09': 'CityDev', 'DQIW': 'CityDev 5xLongSG220331', 'DCLW': 'CityDev 5xLongSG220630', 'DEUW': 'CityDev 5xLongSG230404', 'DCSW': 'CityDev 5xShortSG220630', 'DXIW': 'CityDev 5xShortSG231214', 'D01': 'DairyFarm USD', 'D05': 'DBS', 'DQEW': 'DBS 5xLongSG230713', 'DKBW': 'DBS 5xLongSG240306', 'DCAW': 'DBS 5xShortSG220331', 'DTFW': 'DBS 5xShortSG221201', 'DLDW': 'DBS 5xShortSG240306', '5TJ': 'Far East', 'ACV': 'Frasers HTrust', 'TQ5': 'Frasers Property', 'H30': 'Hong Fok', 'C07': 'Jardine C&C', 'J36': 'JMH USD', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF'}",Positive,0.14%
Market update: STI up 1.61%,"UOB  was seen with the most growth.The Straits Time Index closed at 1.61% up, at3,199.49on 9 March.UOB, DBS and CapitaLandInvest reported positive growths at 3.68%, 3.3% and 2.73%, respectively.Seen at the bottom were Genting Singapore at 1.96% down, Jardine Matheson Holdings at 0.83% down and DairyFarm at 0.82% down.",https://sbr.com.sg/stocks/news/market-update-sti-161,2022-03-10T06:00:00+0800,"{'9CI': 'CapitaLandInvest', 'D01': 'DairyFarm USD', 'D05': 'DBS', 'DQEW': 'DBS 5xLongSG230713', 'DKBW': 'DBS 5xLongSG240306', 'DCAW': 'DBS 5xShortSG220331', 'DTFW': 'DBS 5xShortSG221201', 'DLDW': 'DBS 5xShortSG240306', '5TJ': 'Far East', 'DUBW': 'Genting 5xLongSG230420', 'DQOW': 'Genting 5xShortSG220328', 'DQGW': 'Genting 5xShortSG240306', 'G13': 'Genting Sing', 'C07': 'Jardine C&C', 'J36': 'JMH USD', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF', 'U11': 'UOB', 'DHBW': 'UOB 5xLongSG230713', 'DOGW': 'UOB 5xLongSG240306', 'DEZW': 'UOB 5xShortSG221201', 'DSMW': 'UOB 5xShortSG240306'}",Positive,1.61%
Market update: STI down 1.27%,"Jardine Cycle & Carriage was seen with the most growth.The Straits Time Index closed at 1.27% down, at3,147.43on 8 March.Jardine Cycle & Carriage, SATS, and ComfortDelGro reported positive growths at 3.55%, 1.84%, and 0.74%, respectively.Seen at the bottom were Yangzijiang Shipbuilding at 3.45% down, UOB at 2.92% down, and DBS at 2.13% down.",https://sbr.com.sg/stocks/news/market-update-sti-down-127-0,2022-03-09T06:00:00+0800,"{'MQVW': 'Comfort 5xLongSG231115', 'THLW': 'Comfort 5xShortSG231115', 'FQJW': 'ComfortDel MBeCW220315', '9A3W': 'ComfortDel MBeCW221014', 'C52': 'ComfortDelGro', 'D05': 'DBS', 'DQEW': 'DBS 5xLongSG230713', 'DKBW': 'DBS 5xLongSG240306', 'DCAW': 'DBS 5xShortSG220331', 'DTFW': 'DBS 5xShortSG221201', 'DLDW': 'DBS 5xShortSG240306', 'C07': 'Jardine C&C', 'S58': 'SATS', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF', 'U11': 'UOB', 'DHBW': 'UOB 5xLongSG230713', 'DOGW': 'UOB 5xLongSG240306', 'DEZW': 'UOB 5xShortSG221201', 'DSMW': 'UOB 5xShortSG240306', 'X1KW': 'YZJ 5xLongSG231115', '5YCW': 'YZJ 5xShortSG231115', 'BS6': 'YZJ Shipbldg SGD'}",Negative,1.27%
Market update: STI down 0.85%,"Wilmar International was seen with the most growth.The Straits Time Index closed at 0.85% down, at3,225.90on 4 March.Wilmar International, ST Engineering, and ThaiBev reported positive growths at 2.64%, 2.29% and 0.75%, respectively.Seen at the bottom were Jardine Cycle & Carriage at 2.68% down, Sembcorp Industries at 2.19% down and DBS at 1.9% down.",https://sbr.com.sg/stocks/news/market-update-sti-down-085,2022-03-07T06:00:00+0800,"{'D05': 'DBS', 'DQEW': 'DBS 5xLongSG230713', 'DKBW': 'DBS 5xLongSG240306', 'DCAW': 'DBS 5xShortSG220331', 'DTFW': 'DBS 5xShortSG221201', 'DLDW': 'DBS 5xShortSG240306', 'KUO': 'Intl Cement', 'C07': 'Jardine C&C', 'U96': 'Sembcorp Ind', 'S51': 'Sembcorp Marine', 'S63': 'ST Engineering', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF', 'Y92': 'ThaiBev', 'QAHW': 'ThaiBev 5xLongSG231115', 'ELTW': 'ThaiBev 5xShortSG231115', 'DPBW': 'Wilmar 5xLongSG240306', 'DDBW': 'Wilmar 5xShortSG221201', 'DHGW': 'Wilmar 5xShortSG230825', 'F34': 'Wilmar Intl'}",Negative,0.85%
Market update: STI up 0.47%,"Wilmar International was seen with the most growth.The Straits Time Index closed at 0.47% up, at3,259.68on 3 March.Wilmar International, Genting Singapore, and Keppel Corp reported positive growths at 2.25%, 1.32%, and 1.17%, respectively.Seen at the bottom were Jardine Matheson Holdings at 1.43% down, ThaiBev at 0.75% down, and DBS at 0.3% down.",https://sbr.com.sg/stocks/news/market-update-sti-047,2022-03-04T06:00:00+0800,"{'D05': 'DBS', 'DQEW': 'DBS 5xLongSG230713', 'DKBW': 'DBS 5xLongSG240306', 'DCAW': 'DBS 5xShortSG220331', 'DTFW': 'DBS 5xShortSG221201', 'DLDW': 'DBS 5xShortSG240306', 'DUBW': 'Genting 5xLongSG230420', 'DQOW': 'Genting 5xShortSG220328', 'DQGW': 'Genting 5xShortSG240306', 'G13': 'Genting Sing', 'KUO': 'Intl Cement', 'C07': 'Jardine C&C', 'J36': 'JMH USD', 'BN4': 'Keppel Corp', 'K71U': 'Keppel Reit', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF', 'Y92': 'ThaiBev', 'QAHW': 'ThaiBev 5xLongSG231115', 'ELTW': 'ThaiBev 5xShortSG231115', 'DPBW': 'Wilmar 5xLongSG240306', 'DDBW': 'Wilmar 5xShortSG221201', 'DHGW': 'Wilmar 5xShortSG230825', 'F34': 'Wilmar Intl'}",Positive,0.47%
