company_name,company_code,trading_time,type,listing_board,Name
2ndChance W230308,ZFSW,20220310_091600,companywarrants,MAINBOARD,0
3Cnergy,502,20220310_091600,stocks,CATALIST,502
8Telecom,AZG,20220310_091600,stocks,MAINBOARD,0
A-Smart,BQC,20220310_091600,stocks,MAINBOARD,BQC
A-Sonic Aero W220408^,8YMW,20220310_091600,companywarrants,MAINBOARD,0
A-Sonic Aero^,BTJ,20220310_091600,stocks,MAINBOARD,BTJ
AAC 5xLongSG220630,DALW,20220310_091600,dlcertificates,MAINBOARD,0
AAC 5xLongSG230331,DAFW,20220310_091600,dlcertificates,MAINBOARD,0
AAC 5xLongSG231214,DATW,20220310_091600,dlcertificates,MAINBOARD,0
AAC 5xLongSG240201,DKAW,20220310_091600,dlcertificates,MAINBOARD,0
AAC 5xShortSG220621,DBGW,20220310_091600,dlcertificates,MAINBOARD,0
AAC 5xShortSG220630,DASW,20220310_091600,dlcertificates,MAINBOARD,0
AAC 5xShortSG221201,DYDW,20220310_091600,dlcertificates,MAINBOARD,0
AAC 5xShortSG230825,DWTW,20220310_091600,dlcertificates,MAINBOARD,0
ABF SG BOND ETF,A35,20220310_091600,etfs,MAINBOARD,A35
ABR,533,20220310_091600,stocks,MAINBOARD,533
Abterra^,L5I,20220310_091600,stocks,MAINBOARD,L5I
Abundance Intl,541,20220310_091600,stocks,CATALIST,541
Accrelist Ltd,QZG,20220310_091600,stocks,CATALIST,QZG
Ace Achieve Info,A75,20220310_091600,stocks,MAINBOARD,A75
Acesian Partners,5FW,20220310_091600,stocks,CATALIST,5FW
ACH ADR US$,K3HD,20220310_085950,adrs,GLOBAL_QUOTE,K3HD
Acma,AYV,20220310_091600,stocks,MAINBOARD,AYV
AcroMeta,43F,20220310_091600,stocks,CATALIST,43F
Addvalue Tech,A31,20220310_091600,stocks,MAINBOARD,A31
Advanced,BLZ,20220310_091600,stocks,CATALIST,BLZ
Advanced Systems,5TY,20220310_091600,stocks,CATALIST,5TY
Advancer Global,43Q,20220310_091600,stocks,CATALIST,43Q
Adventus,5EF,20220310_091600,stocks,CATALIST,5EF
Aedge Group,XVG,20220310_091600,stocks,CATALIST,XVG
AEM SGD,AWX,20220310_091600,stocks,MAINBOARD,AWX
AEM USD,XWA,20220310_091600,stocks,MAINBOARD,XWA
AF Global,L38,20220310_091600,stocks,MAINBOARD,L38
AGV,1A4,20220310_091600,stocks,CATALIST,1A4
AIA 5xLongSG241213,DWGW,20220310_091600,dlcertificates,MAINBOARD,0
AIA 5xShortSG240125,DUXW,20220310_091600,dlcertificates,MAINBOARD,0
AIMS APAC Reit,O5RU,20220310_091600,reits,MAINBOARD,O5RU
AIMS Property,BVP,20220310_005459,others,MAINBOARD,BVP
AIMS Property,BVP,20220310_005459,others,MAINBOARD,BVP
AIMS Property,BVP,20220310_091600,stocks,MAINBOARD,BVP
AIMS Property,BVP,20220310_091600,stocks,MAINBOARD,BVP
Alibaba 5xLongSG220608,DGFW,20220310_091600,dlcertificates,MAINBOARD,0
Alibaba 5xLongSG230627,DMBW,20220310_091600,dlcertificates,MAINBOARD,0
Alibaba 5xLongSG230627A,DNFW,20220310_091600,dlcertificates,MAINBOARD,0
Alibaba 5xLongSG231214,DVIW,20220310_091600,dlcertificates,MAINBOARD,0
Alibaba 5xLongUB241231,WA9W,20220310_091600,dlcertificates,MAINBOARD,0
Alibaba 5xShortSG230202,DAGW,20220310_091600,dlcertificates,MAINBOARD,0
Alibaba 5xShortSG230627,DCMW,20220310_091600,dlcertificates,MAINBOARD,0
Alibaba 5xShortSG230627A,DWNW,20220310_091600,dlcertificates,MAINBOARD,0
Alibaba 5xShortSG231214,DCIW,20220310_091600,dlcertificates,MAINBOARD,0
Alibaba 5xShortUB241231,JQYW,20220310_091600,dlcertificates,MAINBOARD,0
Alibaba MB eCW220404,THVW,20220310_091600,structuredwarrants,MAINBOARD,0
Alibaba MB eCW220705,9BXW,20220310_091600,structuredwarrants,MAINBOARD,0
Alibaba MB ePW220404,LBHW,20220310_091600,structuredwarrants,MAINBOARD,0
Alibaba MB ePW220705,YQOW,20220310_091600,structuredwarrants,MAINBOARD,0
ALIHLTH 5xLongSG220323,DUQW,20220310_091600,dlcertificates,MAINBOARD,0
ALIHLTH 5xLongSG231012,DXZW,20220310_091600,dlcertificates,MAINBOARD,0
ALIHLTH 5xShortSG231012,DYMW,20220310_091600,dlcertificates,MAINBOARD,0
Alita Resources,40F,20220310_091600,stocks,CATALIST,40F
Alliance HC,MIJ,20220310_091600,stocks,CATALIST,MIJ
Allied Tech,A13,20220310_091600,stocks,CATALIST,0
AlphaDX,VVL,20220310_091600,stocks,CATALIST,VVL
Alpina Holdings,ZXY,20220310_091600,stocks,CATALIST,ZXY
Alset,40V,20220310_091600,stocks,CATALIST,40V
Amara,A34,20220310_091600,stocks,MAINBOARD,A34
Amcorp Global,S9B,20220310_091600,stocks,MAINBOARD,S9B
AMOS Group,49B,20220310_091600,stocks,MAINBOARD,49B
Amplefield Ltd,AOF,20220310_091600,stocks,CATALIST,AOF
Amplefield Ltd W221218,1G7W,20220310_091600,companywarrants,CATALIST,1G7W
AMTD IB OV,HKB,20220310_091600,stocks,MAINBOARD,HKB
AnAn Intl,Y35,20220310_091600,stocks,MAINBOARD,Y35
Anchun Intl,BTX,20220310_091600,stocks,MAINBOARD,BTX
AnnAik,A52,20220310_091600,stocks,CATALIST,A52
AnnAik W241009,VAIW,20220310_091600,companywarrants,CATALIST,0
Annica,5AL,20220310_091600,stocks,CATALIST,5AL
ANTA 5xLongSG231019,DZDW,20220310_091600,dlcertificates,MAINBOARD,0
ANTA 5xShortSG231019,DXGW,20220310_091600,dlcertificates,MAINBOARD,0
